ano,sexo,grupo_idade,populacao
2012,Total,Total,197721000
2012,Total,0 a 4 anos,13381000
2012,Total,5 a 13 anos,27795000
2012,Total,5 a 9 anos,14412000
2012,Total,10 a 13 anos,13384000
2012,Total,14 a 17 anos,14237000
2012,Total,14 a 15 anos,7109000
2012,Total,16 a 17 anos,7128000
2012,Total,18 a 19 anos,6706000
2012,Total,20 a 24 anos,15963000
2012,Total,25 a 29 anos,16034000
2012,Total,30 a 39 anos,30633000
2012,Total,40 a 49 anos,26414000
2012,Total,50 a 59 anos,21191000
2012,Total,60 anos ou mais,25367000
2012,Total,60 a 64 anos,7978000
2012,Total,65 anos ou mais,17389000
2012,Homens,Total,95793000
2012,Homens,0 a 4 anos,6812000
2012,Homens,5 a 13 anos,14163000
2012,Homens,5 a 9 anos,7369000
2012,Homens,10 a 13 anos,6794000
2012,Homens,14 a 17 anos,7217000
2012,Homens,14 a 15 anos,3587000
2012,Homens,16 a 17 anos,3630000
2012,Homens,18 a 19 anos,3425000
2012,Homens,20 a 24 anos,7997000
2012,Homens,25 a 29 anos,7882000
2012,Homens,30 a 39 anos,14721000
2012,Homens,40 a 49 anos,12522000
2012,Homens,50 a 59 anos,9864000
2012,Homens,60 anos ou mais,11191000
2012,Homens,60 a 64 anos,3662000
2012,Homens,65 anos ou mais,7529000
2012,Mulheres,Total,101927000
2012,Mulheres,0 a 4 anos,6569000
2012,Mulheres,5 a 13 anos,13633000
2012,Mulheres,5 a 9 anos,7043000
2012,Mulheres,10 a 13 anos,6590000
2012,Mulheres,14 a 17 anos,7019000
2012,Mulheres,14 a 15 anos,3521000
2012,Mulheres,16 a 17 anos,3498000
2012,Mulheres,18 a 19 anos,3281000
2012,Mulheres,20 a 24 anos,7966000
2012,Mulheres,25 a 29 anos,8153000
2012,Mulheres,30 a 39 anos,15912000
2012,Mulheres,40 a 49 anos,13891000
2012,Mulheres,50 a 59 anos,11327000
2012,Mulheres,60 anos ou mais,14177000
2012,Mulheres,60 a 64 anos,4317000
2012,Mulheres,65 anos ou mais,9860000
2013,Total,Total,199402000
2013,Total,0 a 4 anos,13487000
2013,Total,5 a 13 anos,27548000
2013,Total,5 a 9 anos,14294000
2013,Total,10 a 13 anos,13255000
2013,Total,14 a 17 anos,13981000
2013,Total,14 a 15 anos,6945000
2013,Total,16 a 17 anos,7036000
2013,Total,18 a 19 anos,6866000
2013,Total,20 a 24 anos,15783000
2013,Total,25 a 29 anos,15911000
2013,Total,30 a 39 anos,31312000
2013,Total,40 a 49 anos,26748000
2013,Total,50 a 59 anos,21644000
2013,Total,60 anos ou mais,26124000
2013,Total,60 a 64 anos,8244000
2013,Total,65 anos ou mais,17880000
2013,Homens,Total,96670000
2013,Homens,0 a 4 anos,6898000
2013,Homens,5 a 13 anos,14218000
2013,Homens,5 a 9 anos,7315000
2013,Homens,10 a 13 anos,6903000
2013,Homens,14 a 17 anos,7146000
2013,Homens,14 a 15 anos,3566000
2013,Homens,16 a 17 anos,3581000
2013,Homens,18 a 19 anos,3462000
2013,Homens,20 a 24 anos,7836000
2013,Homens,25 a 29 anos,7726000
2013,Homens,30 a 39 anos,14940000
2013,Homens,40 a 49 anos,12817000
2013,Homens,50 a 59 anos,10089000
2013,Homens,60 anos ou mais,11537000
2013,Homens,60 a 64 anos,3777000
2013,Homens,65 anos ou mais,7760000
2013,Mulheres,Total,102732000
2013,Mulheres,0 a 4 anos,6588000
2013,Mulheres,5 a 13 anos,13330000
2013,Mulheres,5 a 9 anos,6978000
2013,Mulheres,10 a 13 anos,6352000
2013,Mulheres,14 a 17 anos,6835000
2013,Mulheres,14 a 15 anos,3379000
2013,Mulheres,16 a 17 anos,3455000
2013,Mulheres,18 a 19 anos,3404000
2013,Mulheres,20 a 24 anos,7946000
2013,Mulheres,25 a 29 anos,8185000
2013,Mulheres,30 a 39 anos,16372000
2013,Mulheres,40 a 49 anos,13931000
2013,Mulheres,50 a 59 anos,11554000
2013,Mulheres,60 anos ou mais,14586000
2013,Mulheres,60 a 64 anos,4467000
2013,Mulheres,65 anos ou mais,10119000
2014,Total,Total,201108000
2014,Total,0 a 4 anos,13060000
2014,Total,5 a 13 anos,26749000
2014,Total,5 a 9 anos,14096000
2014,Total,10 a 13 anos,12653000
2014,Total,14 a 17 anos,14147000
2014,Total,14 a 15 anos,7127000
2014,Total,16 a 17 anos,7020000
2014,Total,18 a 19 anos,6770000
2014,Total,20 a 24 anos,15336000
2014,Total,25 a 29 anos,15807000
2014,Total,30 a 39 anos,31823000
2014,Total,40 a 49 anos,27470000
2014,Total,50 a 59 anos,22520000
2014,Total,60 anos ou mais,27426000
2014,Total,60 a 64 anos,8746000
2014,Total,65 anos ou mais,18680000
2014,Homens,Total,97334000
2014,Homens,0 a 4 anos,6634000
2014,Homens,5 a 13 anos,13622000
2014,Homens,5 a 9 anos,7149000
2014,Homens,10 a 13 anos,6473000
2014,Homens,14 a 17 anos,7288000
2014,Homens,14 a 15 anos,3669000
2014,Homens,16 a 17 anos,3619000
2014,Homens,18 a 19 anos,3383000
2014,Homens,20 a 24 anos,7669000
2014,Homens,25 a 29 anos,7707000
2014,Homens,30 a 39 anos,15249000
2014,Homens,40 a 49 anos,13154000
2014,Homens,50 a 59 anos,10484000
2014,Homens,60 anos ou mais,12143000
2014,Homens,60 a 64 anos,4023000
2014,Homens,65 anos ou mais,8120000
2014,Mulheres,Total,103775000
2014,Mulheres,0 a 4 anos,6425000
2014,Mulheres,5 a 13 anos,13128000
2014,Mulheres,5 a 9 anos,6947000
2014,Mulheres,10 a 13 anos,6181000
2014,Mulheres,14 a 17 anos,6859000
2014,Mulheres,14 a 15 anos,3458000
2014,Mulheres,16 a 17 anos,3401000
2014,Mulheres,18 a 19 anos,3387000
2014,Mulheres,20 a 24 anos,7667000
2014,Mulheres,25 a 29 anos,8100000
2014,Mulheres,30 a 39 anos,16574000
2014,Mulheres,40 a 49 anos,14316000
2014,Mulheres,50 a 59 anos,12036000
2014,Mulheres,60 anos ou mais,15283000
2014,Mulheres,60 a 64 anos,4724000
2014,Mulheres,65 anos ou mais,10560000
2015,Total,Total,202859000
2015,Total,0 a 4 anos,13046000
2015,Total,5 a 13 anos,26371000
2015,Total,5 a 9 anos,14075000
2015,Total,10 a 13 anos,12296000
2015,Total,14 a 17 anos,13878000
2015,Total,14 a 15 anos,6999000
2015,Total,16 a 17 anos,6878000
2015,Total,18 a 19 anos,6789000
2015,Total,20 a 24 anos,15780000
2015,Total,25 a 29 anos,15595000
2015,Total,30 a 39 anos,31900000
2015,Total,40 a 49 anos,27786000
2015,Total,50 a 59 anos,23343000
2015,Total,60 anos ou mais,28373000
2015,Total,60 a 64 anos,9104000
2015,Total,65 anos ou mais,19269000
2015,Homens,Total,98306000
2015,Homens,0 a 4 anos,6617000
2015,Homens,5 a 13 anos,13451000
2015,Homens,5 a 9 anos,7253000
2015,Homens,10 a 13 anos,6198000
2015,Homens,14 a 17 anos,7110000
2015,Homens,14 a 15 anos,3570000
2015,Homens,16 a 17 anos,3540000
2015,Homens,18 a 19 anos,3430000
2015,Homens,20 a 24 anos,7852000
2015,Homens,25 a 29 anos,7618000
2015,Homens,30 a 39 anos,15486000
2015,Homens,40 a 49 anos,13345000
2015,Homens,50 a 59 anos,10905000
2015,Homens,60 anos ou mais,12492000
2015,Homens,60 a 64 anos,4137000
2015,Homens,65 anos ou mais,8356000
2015,Mulheres,Total,104553000
2015,Mulheres,0 a 4 anos,6429000
2015,Mulheres,5 a 13 anos,12920000
2015,Mulheres,5 a 9 anos,6822000
2015,Mulheres,10 a 13 anos,6098000
2015,Mulheres,14 a 17 anos,6768000
2015,Mulheres,14 a 15 anos,3429000
2015,Mulheres,16 a 17 anos,3339000
2015,Mulheres,18 a 19 anos,3359000
2015,Mulheres,20 a 24 anos,7928000
2015,Mulheres,25 a 29 anos,7976000
2015,Mulheres,30 a 39 anos,16414000
2015,Mulheres,40 a 49 anos,14441000
2015,Mulheres,50 a 59 anos,12438000
2015,Mulheres,60 anos ou mais,15881000
2015,Mulheres,60 a 64 anos,4967000
2015,Mulheres,65 anos ou mais,10913000
2016,Total,Total,204532000
2016,Total,0 a 4 anos,12912000
2016,Total,5 a 13 anos,25687000
2016,Total,5 a 9 anos,13576000
2016,Total,10 a 13 anos,12111000
2016,Total,14 a 17 anos,13766000
2016,Total,14 a 15 anos,6740000
2016,Total,16 a 17 anos,7026000
2016,Total,18 a 19 anos,6745000
2016,Total,20 a 24 anos,15667000
2016,Total,25 a 29 anos,15417000
2016,Total,30 a 39 anos,32513000
2016,Total,40 a 49 anos,28214000
2016,Total,50 a 59 anos,24170000
2016,Total,60 anos ou mais,29442000
2016,Total,60 a 64 anos,9310000
2016,Total,65 anos ou mais,20133000
2016,Homens,Total,99108000
2016,Homens,0 a 4 anos,6582000
2016,Homens,5 a 13 anos,13097000
2016,Homens,5 a 9 anos,6940000
2016,Homens,10 a 13 anos,6157000
2016,Homens,14 a 17 anos,7231000
2016,Homens,14 a 15 anos,3539000
2016,Homens,16 a 17 anos,3691000
2016,Homens,18 a 19 anos,3451000
2016,Homens,20 a 24 anos,7819000
2016,Homens,25 a 29 anos,7528000
2016,Homens,30 a 39 anos,15740000
2016,Homens,40 a 49 anos,13435000
2016,Homens,50 a 59 anos,11284000
2016,Homens,60 anos ou mais,12941000
2016,Homens,60 a 64 anos,4265000
2016,Homens,65 anos ou mais,8676000
2016,Mulheres,Total,105425000
2016,Mulheres,0 a 4 anos,6331000
2016,Mulheres,5 a 13 anos,12590000
2016,Mulheres,5 a 9 anos,6636000
2016,Mulheres,10 a 13 anos,5954000
2016,Mulheres,14 a 17 anos,6535000
2016,Mulheres,14 a 15 anos,3200000
2016,Mulheres,16 a 17 anos,3335000
2016,Mulheres,18 a 19 anos,3294000
2016,Mulheres,20 a 24 anos,7847000
2016,Mulheres,25 a 29 anos,7889000
2016,Mulheres,30 a 39 anos,16773000
2016,Mulheres,40 a 49 anos,14779000
2016,Mulheres,50 a 59 anos,12885000
2016,Mulheres,60 anos ou mais,16501000
2016,Mulheres,60 a 64 anos,5044000
2016,Mulheres,65 anos ou mais,11457000
2017,Total,Total,206172000
2017,Total,0 a 4 anos,13080000
2017,Total,5 a 13 anos,25616000
2017,Total,5 a 9 anos,13697000
2017,Total,10 a 13 anos,11919000
2017,Total,14 a 17 anos,13244000
2017,Total,14 a 15 anos,6405000
2017,Total,16 a 17 anos,6839000
2017,Total,18 a 19 anos,6876000
2017,Total,20 a 24 anos,16223000
2017,Total,25 a 29 anos,15361000
2017,Total,30 a 39 anos,32692000
2017,Total,40 a 49 anos,28356000
2017,Total,50 a 59 anos,24561000
